Title,Name,Product_Id,Variant_Id,Sku,Barcode,Variant_Title,Product_Type,Product_Category,Product_Type,Product_Sub_Type,Product_Campaign,Campaign_Year,is_print,Print_Solid_Name,Base_Fabric_Color,Made_In,Manufacturer
THE JUMPSUIT IN FALL FLORAL,THE JUMPSUIT IN FALL FLORAL - 8,,1.25345E+13,AW18jumpsuitFF008,,8,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Fall Floral,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 8,,1.25345E+13,AW18jumpsuitFF008,,8,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 2T,,1.25345E+13,AW18jumpsuitND002,,2T,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 3T,,1.25345E+13,AW18jumpsuitND003,,3T,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 4T,,1.25345E+13,AW18jumpsuitND004,,4T,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 5,,1.25345E+13,AW18jumpsuitND005,,5,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 6,,1.25345E+13,AW18jumpsuitND006,,6,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 7,,1.25345E+13,AW18jumpsuitND007,,7,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 8,,1.25345E+13,AW18jumpsuitND008,,8,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE LEO IN BETSY DOT,THE LEO IN BETSY DOT - 2T,,1.25673E+13,AW18LEObetsy002,,2T,,Girl's,Dance,Leo,,,TRUE,Betsy Dot,,USA,Left in Stitches
THE LEO IN BETSY DOT -  LAST CHANCE FINAL SALE!,THE LEO IN BETSY DOT -  LAST CHANCE FINAL SALE! - 2T,,1.25673E+13,AW18LEObetsy002,,2T,,Girl's,Dance,Leo,,,TRUE,Betsy Dot,,USA,Left in Stitches
THE LEO IN BETSY DOT,THE LEO IN BETSY DOT - 3T,,1.25673E+13,AW18LEObetsy003,,3T,,Girl's,Dance,Leo,,,TRUE,Betsy Dot,,USA,Left in Stitches
THE LEO IN BETSY DOT,THE LEO IN BETSY DOT - 4T,,1.25673E+13,AW18LEObetsy004,,4T,,Girl's,Dance,Leo,,,TRUE,Betsy Dot,,USA,Left in Stitches
THE LEO IN BETSY DOT,THE LEO IN BETSY DOT - 5,,1.25673E+13,AW18LEObetsy005,,5,,Girl's,Dance,Leo,,,TRUE,Betsy Dot,,USA,Left in Stitches
